Video Id,Title,Description,Category
b'/13E5azGDK1k',b'\n                FINE ART Music and Painting PEACEFUL SELECTION (Calm Melodies and Beautiful Pictures)\n              ',"b'CALM MELODIES AND BEAUTIFUL PICTURES Debussy, Milena Stanisic, Piano, Flute, Harp, Flowers, Sailing, Mediterranean,\xc2\xa0...'",Art and Music
b'/8XdHP_fQoB0',b'\n                Beautiful Paintings + Beautiful Classical Music\n              ',"b'Beautiful selected paintings combine with some of the best of classical music List of the paintings is too long to post here, but I\xc2\xa0...'",Art and Music
b'/tsKlRF2Gw1s',b'\n                The Great Masterpieces of Art & Music\n              ',"b""Skip the art museum and come experience \xe2\x80\x9cGreat Masterpieces,\xe2\x80\x9d a wide-ranging collection of some of the world's most beautiful\xc2\xa0...""",Art and Music
b'/rrJbuF6zOIk',b'\n                babyfirst art and music\n              ',b'',Art and Music
b'/1b8xiXKd9Kk',"b""\n                Art: music & painting - Van Gogh on Caggiano, Floridia, Boito, Mahler and Brahms' music\n              ""","b""Buy \xe2\x80\x9cArt: Music & Painting - Van Gogh on on Caggiano, Floridia, Boito, Mahler and Bramhs' music\xe2\x80\x9d (MP3 album) on the Official\xc2\xa0...""",Art and Music
b'/PCf9xWMdUVI',b'\n                Rakesh Chaurasia | Raag Hemavati | Flute | Hindustani Classical | Indian Music | Art And Artistes\n              ',"b""Watch maestro Rakesh Chaurasia's spectacular performance of Raag Hemavati on flute. Enjoy Hindustani Classical Instrumental\xc2\xa0...""",Art and Music
b'/5mWjq2BsD9Q',b'\n                Improvised Piano Music and Emotional Art Therapy - Featuring Erica Orth\n              ',"b'When watching this special episode of The Perfect Note, keep in mind, every single note heard and stroke of paint seen in this\xc2\xa0...'",Art and Music
b'/GWCxE-HkVGw',"b'\n                Art and Music from the Romantic Era - Rachmaninoff, Chopin, Brahms - Romanticism\n              '",b'Turn on subtitles for information about the paintings!\n\nA journey through the Romantic Era in three brilliant musical ...',Art and Music
b'/unuiaZleQ5c',b'\n                Healing Flute Meditation Music For Positive Energy | Art of Living\n              ',b'This is the official YouTube channel of  The Art of Living.\nTo subscribe click here:\nhttps://bit.ly/Youtube-AOL\n \nAbout The ...',Art and Music
b'/x7HPg9eZRY0',b'\n                Sanjeev Abhyankar | Rakesh Chaurasia | Hindustani Classical Music | Idea Jalsa | Art And Artistes\n              ',b'Sanjeev Abhyankar and Rakesh Chaurasia rendered Hindustani Classical Music by vocals and on flute respectively at Idea Jalsa\xc2\xa0...',Art and Music
b'/C6txK8LXg1o',b'\n                Creative Brains: Music Art and Emotion\n              ',"b'Visit: http://www.uctv.tv/) Join the Director of the UCSF Memory and Aging Center Dr. Bruce Miller, Neurology Research Scientist\xc2\xa0...'",Art and Music
b'/daVaEoF5Hrk',b'\n                Arnold Sch\xc3\xb6nberg - Wassily Kandinsky: Music and Art Get One\n              ',b'The early years of the 20th Century signed a terrific advance in the Physical Sciences. The Special (1905) and General (1916)\xc2\xa0...',Art and Music
b'/9uKVI6_Fm4g',"b'\n                Claude Debussy - Classical Music for Reading, Studying and Relaxation - Clair de Lune - piano pieces\n              '",b'This video was completely created by myself. I own all necessary rights.\n\nPiano music of Claude Debussy for relaxation ...',Art and Music
b'/X0u2F4DApsk',"b'\n                Music for your Concentration:  Best playlist for painting, studying, reading, meditation, relaxing\n              '",b'Subscribe to our channel: http://bit.ly/1GyrCmz https://www.facebook.com/YouRelaxingchannel Music for your Concentration: Best\xc2\xa0...',Art and Music
b'/23Ylz5_96XU',"b'\n                Peaceful, Creative Focus Music: for Reading, study, artistic work, gentle soothing music\n              '","b'Wishing you better sleep, peaceful meditations before sleep and inspired living. Click here to subscribe to our channel:\xc2\xa0...'",Art and Music
b'/JjrRO_QrWtY',"b'\n                The Greatest Paintings and Classical Music, Together (Complete)\n              '","b'Michelangelo with Mozart, Renoir with Chopin, Gainsborough with Mendelssohn, Raphael with Bach, Da Vinci with Beethoven,\xc2\xa0...'",Art and Music
b'/DqU64X6nngo',b'\n                Indian Music Part 1 - Art and Culture for UPSC\n              ',b'Download Notes here: http://sh.st/PNBsp ------------------------------------------------------------- Indian Art and Culture Study Material for\xc2\xa0...',Art and Music
b'/-3FMzIRSIMc',b'\n                Fine Art Screensaver for Flatscreen (2 hours with classical music \xe2\x99\xab)\n              ',"b'Tag your favorite painting with a comment featuring timestamp.To view same slideshow with no sound, go to:\xc2\xa0...'",Art and Music
b'/ox7wJJy6rgg',b'\n                The Romanticism in the Art and Music\n              ',b'Placido Domingo (and Luciano Pavarotti in: Cantique de Noel) Painter and Composer: (00:00) Friedrich Gauermann (1773-1843):\xc2\xa0...',Art and Music
