Video Id,Title,Description,Category
b'/yjmp8CoZBIo',b'\n                One Direction - History (Official Video)\n              ',"b""One Direction's official music video for History. As featured on Made in the A.M., listen on Spotify http://smarturl.it/MADamSP Click\xc2\xa0...""",History
b'/PSnxA5HREgc',b'\n                Indian History : Ancient History | \xe0\xa4\xaa\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa4\xbe\xe0\xa4\x9a\xe0\xa5\x80\xe0\xa4\xa8 \xe0\xa4\xad\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa4\xa4\n              ',b'Ancient History of India in Hindi |indian history questions and answers for competitive exams|indian history video in hindi |indian\xc2\xa0...',History
b'/rA9Zl3qJ4MQ',b'\n                Did Viking Warrior Women Exist? | History\n              ',b'Viking warrior women were thought to be the stuff of legends. A 2017 DNA analysis proves they were real. #HistoryChannel\xc2\xa0...',History
b'/lvimRsH1O_4',b'\n                Ancient Aliens: Roswell Debris (Season 11) | History\n              ',"b'Roswell researchers suggest that the government sanctioned a bond of secrecy, preventing witnesses of the Roswell UFO crash\xc2\xa0...'",History
b'/fOXW8ZHAUOc',"b""\n                What we know about Michael Jackson's history of sexual abuse allegations\n              ""","b'Leaving Neverland, a new documentary detailing the sexual abuse allegations of Wade Robson and James Safechuck against\xc2\xa0...'",History
b'/HLumFVkaDHk',b'\n                Florence Harding | Mrs. President | History\n              ',"b""Find out how Florence Harding, America's first feminist first lady, helped put her husband in the White House. #HistoryChannel\xc2\xa0...""",History
b'/BGjVbnU-TpA',"b'\n                \xe0\xa4\x95\xe0\xa5\x8d\xe0\xa4\xaf\xe0\xa5\x82\xe0\xa4\x81 \xe0\xa4\x86\xe0\xa4\xaf\xe0\xa5\x87 \xe0\xa4\xa5\xe0\xa5\x87 \xe0\xa4\xae\xe0\xa5\x81\xe0\xa4\x98\xe0\xa4\xb2 \xe0\xa4\xad\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa4\xa4 \xe0\xa4\xae\xe0\xa5\x87\xe0\xa4\x82 , \xe0\xa4\x9c\xe0\xa4\xbe\xe0\xa4\xa8\xe0\xa4\xbf\xe0\xa4\xaf\xe0\xa5\x87 \xe0\xa4\x85\xe0\xa4\xb8\xe0\xa4\xb2\xe0\xa5\x80\xe0\xa4\xaf\xe0\xa4\xa4 \xe0\xa4\x87\xe0\xa4\xa4\xe0\xa4\xbf\xe0\xa4\xb9\xe0\xa4\xbe\xe0\xa4\xb8\xe0\xa4\x95\xe0\xa5\x80  | History Of India\n              '","b'\xe0\xa4\x95\xe0\xa5\x8d\xe0\xa4\xaf\xe0\xa5\x82\xe0\xa4\x81 \xe0\xa4\x86\xe0\xa4\xaf\xe0\xa5\x87\xe0\xa4\xa5\xe0\xa5\x87 \xe0\xa4\xae\xe0\xa5\x81\xe0\xa4\x98\xe0\xa4\xb2 \xe0\xa4\xad\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa4\xa4 \xe0\xa4\xae\xe0\xa5\x87\xe0\xa4\x82 , \xe0\xa4\x9c\xe0\xa4\xbe\xe0\xa4\xa8\xe0\xa4\xbf\xe0\xa4\xaf\xe0\xa5\x87 \xe0\xa4\x85\xe0\xa4\xb8\xe0\xa4\xb2\xe0\xa5\x80\xe0\xa4\xaf\xe0\xa4\xa4 \xe0\xa4\x87\xe0\xa4\xa4\xe0\xa4\xbf\xe0\xa4\xb9\xe0\xa4\xbe\xe0\xa4\xb8\xe0\xa4\x95\xe0\xa5\x80 | History Of India The Mughal Empire (also referred to...'",History
b'/_jw9CoOLOrI',b'\n                \xe0\xa4\x9c\xe0\xa4\xae\xe0\xa5\x8d\xe0\xa4\xae\xe0\xa5\x82 \xe0\xa4\x95\xe0\xa4\xb6\xe0\xa5\x8d\xe0\xa4\xae\xe0\xa5\x80\xe0\xa4\xb0 \xe0\xa4\x95\xe0\xa4\xbe \xe0\xa4\xaa\xe0\xa5\x82\xe0\xa4\xb0\xe0\xa4\xbe \xe0\xa4\x87\xe0\xa4\xa4\xe0\xa4\xbf\xe0\xa4\xb9\xe0\xa4\xbe\xe0\xa4\xb8 \xe0\xa4\xb6\xe0\xa5\x81\xe0\xa4\xb0\xe0\xa5\x82 \xe0\xa4\xb8\xe0\xa5\x87 \xe0\xa4\xb2\xe0\xa5\x87\xe0\xa4\x95\xe0\xa4\xb0 \xe0\xa4\x86\xe0\xa4\x9c \xe0\xa4\xa4\xe0\xa4\x95 | History of Jammu Kashmir State in Hindi\n              ',"b'In this video, we will talk about Jammu and Kashmir, what is the ancient history of Kashmir, when whom were the rulers ruled ...'",History
b'/ENGb3rYUGSE',b'\n                Captain Marvel Makes Box Office History - Charting with Dan!\n              ',b'Dan Murrell and Lon Harris discuss the massive debut of Captain Marvel and other box office news! \xe2\x96\xbb\xe2\x96\xbbSubscribe Now!',History
b'/yCHdow7wvSw',b'\n                Jeanine Pirro\xe2\x80\x99s history of controversial comments on Islam\n              ',b'Fox News released a statement March 11 \xe2\x80\x9cstrongly condemning\xe2\x80\x9d comments made by host Jeanine Pirro referencing Rep.',History
