Video Id,Title,Description,Category
b'/V2jk8PclZwg',"b'\n                LEVEL 9999 Street Food in Dhaka, Bangladesh - The BRAIN FRY King + BEST Street Food in Bangladesh!!!\n              '",b'Street Food in Bangladesh is AMAZING! Check out https://ExpressVPN.com/thefoodranger for 3 months free w/ 1 year pack and 49 ...',Food
b'/zlDTZ2LBTOI',b'\n                Quick Egg Stuffed Healthy Snacks | Indian Style French toast | Mumbai Street Food\n              ',"b'Quick Egg Stuffed Healthy Snacks | Indian Style French toast | Mumbai Street Food Egg lovers must visit this place, this place is\xc2\xa0...'",Food
b'/0SPwwpruGIA',b'\n                42 Foods You Need To Eat Before You Die\n              ',"b'This is the ultimate must-try food bucket list. From burgers dipped in cheese to classic NY cheesecakes to edible cookie dough,\xc2\xa0...'",Food
b'/H0xKYgUX3zI',b'\n                Chinese Street Food Liuhe Tourist Night Market\n              ',b'Trying many different kinds of chinese street food at Liuhe Tourist Night Market located south of Taiwan Liuhe Tourist Night Market\xc2\xa0...',Food
b'/UiNV6grwYCk',b'\n                THUNDER OMLET | Soft Drink in Crazy Egg Dish | Indian Street Food\n              ',"b'You must have tried many varieties of Omlet, but i bet you have never tried this cold drink egg dish. Surat is a city diamond and\xc2\xa0...'",Food
b'/4v9G2ArswUs',"b'\n                Food in Sri Lanka - 1.5 KG MONSTER Crab Curry (Family Recipe) in Colombo, Sri Lanka!\n              '",b'Best of Sri Lanka food tour with The Hungry Tourist: https://www.instagram.com/the.hungry.tourist/\nSubscribe http://bit.ly ...',Food
b'/EwBA1fOQ96c',b'\n                Madagascar Street Food!!! Super RARE Malagasy Village Food!\n              ',b'GIANT ALIEN SNAIL IN JAPAN! \xc2\xbb https://youtu.be/5jcgwu-GvM4 GO ON YOUR TOUR OF MADAGASCAR!',Food
b'/iOtZMVq1qqw',b'\n                Lunch at just \xe2\x82\xb9 5 ||  Dadi ki Rasoi ||  Street Food Sector 29 Noida\n              ',"b'Address: Shop no 39 Block I, Ganga Shopping Complex, Sector 29, Noida, Uttar Pradesh 201301 Lunch at just \xe2\x82\xb9 5 || Dadi ki\xc2\xa0...'",Food
b'/kQH2MMX2oUc',b'\n                CLAY POT MUTTON CURRY !!! Prepared by my Daddy ARUMUGAM / Village food factory\n              ',b'Village food factory.',Food
b'/IJ9eVNt8fI0',"b'\n                Street Food Tour Mahim(Mumbai) - Street Food India - Baba Falooda,Tandoori Chai,Mutton/Chicken Kabab\n              '",b'Like This Video!! Do Subscribe Us: https://goo.gl/SKv5yy * Disclaimer: This video is not Sponsored by anyone. Mahim Khau Galli\xc2\xa0...',Food
b'/0IZz9t9_QAk',b'\n                Eating EGG CURRY & RICE @FATBOY ASMR (eating indian food)\n              ',b'instagram:https://www.instagram.com/fatboy35690/ twitter:https://twitter.com/FATBOYASMR\xc2\xa0...',Food
b'/tAz3BCtL_KY',b'\n                EAT IT OR WEAR IT CHALLENGE | Food Eating Challenge | Food Eating Competition | Food Challenge\n              ',"b'Download Nostra Pro App (A safe, secret app to make money from sports) Link: https://nstra.pro/gjjAV8ackU Available for Android,\xc2\xa0...'",Food
b'/npFrNgdFsq8',b'\n                GIRLS 200 PANI PURI / GOLGAPPA EATING CHALLENGE | Pani Puri Competition|Food Challenge India(Ep-143)\n              ',b'WEBSITE LINK- https://www.noxinfluencer.com/?utm_source=wnb REAL_TIME SUB COUNT-\xc2\xa0...',Food
b'/KHgF0RHWWdQ',b'\n                Homemade vs Fast Food: In-N-Out Fries \xe2\x80\xa2 Tasty\n              ',"b'""I wanna animal style my life."" If you want more of Tasty, check out our merch here: https://amzn.to/2GJ2xvv Follow Alix Traeger!'",Food
b'/DN5rJ_lKZJw',b'\n                Street Food in Bangladesh -The ULTIMATE Old Dhaka Street Food Tour - Bengali Street Food HEAVEN!\n              ',b'Street Food in Bangladesh is AMAZING! Check out https://ExpressVPN.com/thefoodranger for 3 months free w/ 1 year pack and 49 ...',Food
b'/u5LYl4DM5c4',b'\n                Street Food in Malaysia - ULTIMATE MALAYSIAN FOOD in Kuala Lumpur!\n              ',b'Thanks to Oh My Media: https://www.youtube.com/channel/UCgmykbXSQjlEmCdeMWaZi1A\nSubscribe http://bit.ly/MarkWiensSubscribe for ...',Food
b'/lNCMQTY3bEA',"b""\n                McDONALD'S, BURGER KING & KFC BURGER EATING CHALLENGE | Burger Eating Competition | Food Challenge\n              ""","b'https://www.workindia.in/dl/yt-viwafoodworld-emp/ Dosto, Kya aap ko office ke liye staff chahie? Ya Phir aapke HR ya boss ko staff\xc2\xa0...'",Food
b'/5rqx2WqMxTg',b'\n                200 Year Old Street Food in India - OLD IS GOLD | Indian Street Food in Delhi INDIA + BEST CURRY\n              ',"b'BEST Indian Street Food in OLD, DELHI - CHANDNI CHOWK\n\nINDIA DAY 1 - https://www.youtube.com/watch?v=3NQDyMs5P9A&t=6s\n\nINDIAN ...'",Food
b'/xBYxRFud-AQ',b'\n                TRY NOT TO LAUGH FOOD EATING CHALLENGE | Maggi Challenge | Food Eating Competition | Food Challenge\n              ',b'Hello friends..! In this video me and my brother are going to do Try Not To Laugh Food Eating Challenge. In our upcoming vlogs\xc2\xa0...',Food
b'/-g0mdV5Ah64',b'\n                INSIDE BIRYANI !!! Full Goat Biryani Prepared by My Daddy Arumugam / Village food factory\n              ',b'Village food factory.',Food
