Video Id,Title,Description,Category
b'/f3NWvUV8MD8',b'\n                Welcome To Future\n              ',b'Theories of technology often attempt to predict the future of technology based on the high technology and science of the time ...',Science and Technology
b'/2CBOkDtBZ9k',b'\n                Std 10 Science And Technology Paper Solution 9/03/2019 | Dhoran 10 Vigyan Paper Solution | Bord exam\n              ',b'Std 10 Bord exam Science And Technology Most Imp \xe0\xaa\xb2\xe0\xab\x87\xe0\xaa\xa8\xe0\xab\x8d\xe0\xaa\xb8\xe0\xaa\xa8\xe0\xab\x81\xe0\xaa\x82 \xe0\xaa\xb8\xe0\xab\x82\xe0\xaa\xa4\xe0\xab\x8d\xe0\xaa\xb0 \xe0\xaa\x85\xe0\xaa\xa8\xe0\xab\x87 \xe0\xaa\x86\xe0\xaa\x95\xe0\xab\x83\xe0\xaa\xa4\xe0\xaa\xbf \xe0\xaa\xaa\xe0\xaa\xa6\xe0\xab\x8d\xe0\xaa\xa7\xe0\xaa\xa4\xe0\xaa\xbf Std 10 Most Imp March 2019\xc2\xa0...',Science and Technology
b'/8iEbawVWp84',b'\n                SSC Board Science And Technology Paper Solution 2019 | Std 10 Gujarati Medium | Answer Key |\n              ',b'SSC Board Science And Technology Paper Solution 2019 | Std 10 Gujarati Medium | Answer Key |',Science and Technology
b'/MygG9yoPKjQ',b'\n                Big Bang Theory & Evolution of Our Universe - Space Science and Technology\n              ',"b'How was our Universe created? How did it come to be the seemingly infinite place we know of today? And what will become of it,\xc2\xa0...'",Science and Technology
b'/FCZYXuMYAEI',b'\n                SSC STD 10 Science and Technology March paper solution 2019 | Vignan and Technology Paper 09/03/2019\n              ',b'ssc2019 please follow in Unacadamy Channel https://unacademy.com/user/nakumharish25\xc2\xa0...',Science and Technology
b'/IJlCGWqgE8M',"b""\n                SCIENCE & TECH (\xe0\xa4\xb5\xe0\xa4\xbf\xe0\xa4\x9c\xe0\xa5\x8d\xe0\xa4\x9e\xe0\xa4\xbe\xe0\xa4\xa8 \xe0\xa4\x8f\xe0\xa4\xb5\xe0\xa4\x82 \xe0\xa4\xaa\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa5\x8c\xe0\xa4\xa6\xe0\xa5\x8d\xe0\xa4\xaf\xe0\xa5\x8b\xe0\xa4\x97\xe0\xa4\xbf\xe0\xa4\x95\xe0\xa5\x80 \xe0\xa4\x95\xe0\xa4\xb0\xe0\xa5\x87\xe0\xa4\x82\xe0\xa4\x9f \xe0\xa4\x85\xe0\xa4\xab\xe0\xa5\x87\xe0\xa4\xaf\xe0\xa4\xb0\xe0\xa5\x8d\xe0\xa4\xb8),ISRO Missions, NASA etc|MCQ's|pdf\n              """,b'Notes - http://www.myexamnotes.com/2019/01/science-technology-current-affairs-of.html\n\nScience & Technology Current Affairs ...',Science and Technology
b'/sBO5CchnVys',b'\n                Science and Technology | \xe0\xa4\xb5\xe0\xa4\xbf\xe0\xa4\x9c\xe0\xa5\x8d\xe0\xa4\x9e\xe0\xa4\xbe\xe0\xa4\xa8\xe0\xa4\x82 \xe0\xa4\x8f\xe0\xa4\xb5\xe0\xa4\x82 \xe0\xa4\xaa\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa5\x8b\xe0\xa4\xa7\xe0\xa5\x8b\xe0\xa4\x97\xe0\xa4\xbf\xe0\xa4\x95\xe0\xa5\x80 | Foundation Course by NCERT Books at TrentEd\n              ',b'In this session in brief discussion on Science and Technology - (\xe0\xa4\xb5\xe0\xa4\xbf\xe0\xa4\x9c\xe0\xa5\x8d\xe0\xa4\x9e\xe0\xa4\xbe\xe0\xa4\xa8\xe0\xa4\x82 \xe0\xa4\x8f\xe0\xa4\xb5\xe0\xa4\x82 \xe0\xa4\xaa\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa5\x8b\xe0\xa4\xa7\xe0\xa5\x8b\xe0\xa4\x97\xe0\xa4\xbf\xe0\xa4\x95\xe0\xa5\x80 \xe0\xa4\xaa\xe0\xa4\xb0 \xe0\xa4\x9a\xe0\xa4\xb0\xe0\xa5\x8d\xe0\xa4\x9a\xe0\xa4\xbe) and learn more\xc2\xa0...',Science and Technology
b'/ep82CmKsQ5Y',b'\n                #SCIENCE & TECHNOLOGY #CURRENT AFFAIRS 2018 (JANUARY - JUNE) #\xe0\xa4\xb5\xe0\xa4\xbf\xe0\xa4\x9c\xe0\xa5\x8d\xe0\xa4\x9e\xe0\xa4\xbe\xe0\xa4\xa8 \xe0\xa4\xaa\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa5\x8c\xe0\xa4\xa6\xe0\xa5\x8d\xe0\xa4\xaf\xe0\xa5\x8b\xe0\xa4\x97\xe0\xa4\xbf\xe0\xa4\x95\xe0\xa5\x80 #2018\n              ',b'For one liner of this video - http://www.myexamnotes.com/2018/07/science-technology-current-affairs-2018.html check this ...',Science and Technology
b'/yWfAETETHQ4',b'\n                Science and Technologies class - 1 | ICON INDIA\n              ',b'Usefull for All types of Exams ...',Science and Technology
b'/-B0dvYhxEKA',b'\n                SCIENCE & TECHNOLOGY || HAREESH ACADEMY || GENERAL SCIENCE\n              ',b'SCIENCE & TECHNOLOGY (GENERAL SCIENCE) FOR ALL COMPETITIVE EXAMS #ScienceandTechnology\xc2\xa0...',Science and Technology
