Video Id,Title,Description,Category
b'/i9E_Blai8vk',b'\n                TRAVEL VLOG \xe2\x88\x99 Welcome to Bali | PRISCILLA LEE\n              ',b'I had the chance to fly out to Bali with my whole family this Thanksgiving for our first ever trip abroad! I wanted to document my\xc2\xa0...',Travel Blogs
b'/942sCY6d7kU',b'\n                Top 10 YouTube Travellers\n              ',"b""Hello, and welcome to TopX, where we count down the very best that YouTube has to offer. Today we're taking you all around the ...""",Travel Blogs
b'/e2NQE41J5eM',b'\n                How do I travel so much ! How do I earn money!!\n              ',"b""SUBSCRIBE - https://goo.gl/dEtSMJ ('MountainTrekker') Gimbal - https://goo.gl/Frwci2 If you have any other query feel free to ask\xc2\xa0...""",Travel Blogs
b'/yvn79Rv0F48',"b'\n                Backpacking In Meghalaya | NorthEast India Trip | Sohra, Living Roots Bridge | Tanya Khanijow\n              '","b'In this video I explored North East India, starting from Guwahati, Shillong, Cherrapunji (Sohra) and Double Decker Living Roots\xc2\xa0...'",Travel Blogs
b'/f59dDEk57i0',b'\n                Exploring Bhutan - The Travel Vlog\n              ',b'so finally the vlog is up . this is just a brief video about bhutan . i will be uploading a few individual videos about the places i visited\xc2\xa0...',Travel Blogs
b'/EthqIhPtd2I',"b'\n                TRAVEL VLOG: SANTORINI, GREECE\n              '",b'Thank you so much for watching! I hope you found travel and outfit inspiration for your next trip! Watch more of my travel videos\xc2\xa0...',Travel Blogs
b'/RcmrbNRK-jY',b'\n                200 Days - A Trip Around the World Travel Film\n              ',b'My wife and I traveled to 17 countries in 200 days. This film is the story of our incredible trip! Enjoy! We used a GoPro and a Nikon\xc2\xa0...',Travel Blogs
b'/u-UA8t2EVpA',b'\n                Top 10 MOST BEAUTIFUL Places in IRELAND | Essential Irish Travel Guide  \xf0\x9f\x87\xae\xf0\x9f\x87\xaa\n              ',"b'Traveling to Ireland or Northern Ireland?  From Dublin to Belfast and everything in between, these are the Top 10 Essential ...'",Travel Blogs
b'/7ByoBJYXU0k',b'\n                5 Steps to Becoming a Travel Blogger\n              ',"b'Travel blogger, Nikki Vargas, of The Pin the Map Project (voted top 100 travel blog in 2015) shares her best tips to getting started\xc2\xa0...'",Travel Blogs
b'/i5F7Xh9CO8U',b'\n                EXPLORING VARANASI | Benaras Travel Vlog #1\n              ',"b'Spent an incredible week exploring the beautiful city of Varanasi, walking through the colourful gullies, relaxing by the ...'",Travel Blogs
b'/SL_YBLWdZb8',b'\n                Welcome to Peru! | Best Essential Tips & Travel Guide\n              ',"b""Welcome to Peru! This essential travel guide will show you the best essential tips for Peru, one of Latin America's incredible ...""",Travel Blogs
b'/g-7RK9cmXis',b'\n                HOW TO TRAVEL THE PHILIPPINES\n              ',b'THIS IS MY FAVOURITE COUNTRY I HAVE EVER TRAVELED! You simply must put the Philippines on your bucket list. The most\xc2\xa0...',Travel Blogs
b'/sRyslbdtT90',b'\n                31 INSANELY AFFORDABLE Budget Travel Destinations to VISIT NOW\n              ',"b'This extensive list shows the 31 Cheapest Budget Travel Destinations in the World.  Alex and Marko, the Vagabrothers give you ...'",Travel Blogs
b'/yqejTvYILlA',b'\n                Can you travel Bali with $100? Keeping Paradise Affordable\n              ',"b'Bali can be traveled very affordably BUT today, we put it to the real test. How far can we stretch 100 USD while visiting some of the\xc2\xa0...'",Travel Blogs
